Ticker,Summary,Label,Confidence,URL
TSLA,"Tesla, IBM report mixed fourth-quarter results. ServiceNow reports subscription sales below analyst expectations",NEGATIVE,0.9886505603790283,https://finance.yahoo.com/news/stocks-moving-in-after-hours-tesla-ibm-servicenow-levi-231917403.html
TSLA,"Alger Capital highlights Tesla, Inc. (:TSLA) in its Q4 2022 investor letter.",POSITIVE,0.9883352518081665,https://finance.yahoo.com/news/hold-tesla-tsla-long-term-060345712.html
TSLA,"IRS has updated criteria for EV tax credits. Tesla Model Y will qualify for higher cap of $80,000",NEGATIVE,0.8262870907783508,https://finance.yahoo.com/news/tesla-stock-rips-higher-as-irs-boosts-model-y-ev-tax-credit-eligibility-171933283.html
TSLA,BofA says EV maker would be silly to cut prices. Tesla shares are closing in on a 40% gain for January,NEGATIVE,0.9603404998779297,https://www.aol.com/finance/tesla-ceo-elon-musk-silly-210941744.html
TSLA,"Beaten-down names including Tesla, Carvana and Coinbase all up more than 10%.",NEGATIVE,0.9957030415534973,https://finance.yahoo.com/news/tesla-arkk-meme-stocks-rally-2021-energy-technology-markets-195153458.html
TSLA,Shares have fallen more than 40% since CEO Elon Musk bought Twitter. Electric vehicle maker has slashed prices in major markets,NEGATIVE,0.9996114373207092,https://finance.yahoo.com/news/tesla-stock-investors-buying-piper-sandler-165217005.html
TSLA,"Fundstrat's Newton says EV maker is officially oversold. EV maker is up 10% so far in 2023, but analysts warn",NEGATIVE,0.9994070529937744,https://finance.yahoo.com/news/tesla-stock-is-now-officially-oversold-fundstrat-market-technician-says-115502795.html
TSLA,"EV maker’s fourth-quarter and full-year outlook mixed. ‘Tesla’s softer trend and below-consensus margin comes before impact of large price reductions,’ analyst says",NEGATIVE,0.9971998929977417,https://finance.yahoo.com/news/tesla-stock-jp-morgan-note-pours-cold-water-on-sizzling-rally-110737838.html
TSLA,"EV maker’s recent price cuts stem from cost leadership position. ‘Traditional auto manufacturers are going to have trouble keeping up,’ she says",NEGATIVE,0.9980504512786865,https://finance.yahoo.com/news/cathie-wood-on-tesla-price-cuts-rival-ev-makers-will-have-trouble-keeping-up-174435735.html
TSLA,Tesla reported mixed fourth-quarter and full-year outlook. Analyst says order strength is most important takeaway from call,NEGATIVE,0.9032343029975891,https://finance.yahoo.com/news/tesla-stock-heres-goldmans-most-important-takeaway-from-musks-earnings-call-110543602.html
BTC,Largest cryptocurrency rose 2.50% in the week ending Feb. 3. Ether gained 4.47% in the same timeframe,NEGATIVE,0.8118611574172974,https://finance.yahoo.com/news/weekly-market-wrap-bitcoin-breaches-132927384.html
BTC,"Largest cryptocurrency surges past $23,000 for first time since 2022.",POSITIVE,0.7426203489303589,https://uk.finance.yahoo.com/news/bitcoin-price-latest-crypto-genesis-bankruptcy-100236992.html
BTC,"Funding rates for perpetual futures at highest since Dec. 3, 2021.",POSITIVE,0.9101195931434631,https://finance.yahoo.com/news/bitcoin-market-sentiment-most-bullish-100158773.html
BTC,"Saylor says hesympathetic to Munger's crypto criticism, but not bullish. MicroStrategy booked a $197.6 million loss on its bitcoin holdings",NEGATIVE,0.9945008754730225,https://finance.yahoo.com/news/charlie-munger-hasnt-taken-time-182051278.html
BTC,Bitcoin and S&P 500 set to hit golden cross on Thursday.,NEGATIVE,0.5419155359268188,https://finance.yahoo.com/news/bitcoin-p-500-close-bullish-084556081.html
BTC,"Bitcoin at $23,000, on pace for best monthly return since 2021. Analysts see $25,000 as next key price level to watch",POSITIVE,0.8881843686103821,https://finance.yahoo.com/news/bitcoin-on-pace-for-best-month-since-october-2021-as-traders-eye-25000-184023247.html
BTC,Largest cryptocurrency has had its best January since 2013.,POSITIVE,0.9994783997535706,https://finance.yahoo.com/news/bitcoin-closes-out-best-january-since-2013-232215270.html
BTC,"Company mines record 697 bitcoins in January, up 50% from prior month and 129% from same year period.",NEGATIVE,0.8944406509399414,https://finance.yahoo.com/news/cleanspark-releases-january-2023-bitcoin-140000819.html
BTC,Analysts at Bitfinex say Bitcoin could be in the later stages of a bear market.,NEGATIVE,0.9974937438964844,https://finance.yahoo.com/news/bitcoin-could-later-stages-bear-083711018.html
BTC,"Record 687 BTC produced in January 2023, 45% increase from December 2022. Unrestricted cash at January 31, 2023 was $133.8 million",NEGATIVE,0.9296976327896118,https://finance.yahoo.com/news/marathon-digital-holdings-announces-bitcoin-233000428.html
AAPL,"Amazon, Alphabet report better-than-expected earnings. Apple, Google parent Alphabet report lower-than-expected sales",NEGATIVE,0.9991080164909363,https://finance.yahoo.com/news/stocks-moving-in-after-hours-amazon-alphabet-apple-225318178.html
AAPL,"Analysts expect earnings to fall for the first time in five years. Lockdown in China, inflation to be headwinds for iPhone sales",NEGATIVE,0.9960495829582214,https://finance.yahoo.com/news/apple-earnings-will-be-the-latest-sign-the-tech-industry-is-coming-back-to-earth-202939426.html
